#1.2													
20812	12												
Name	Description	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Polyp_1	Polyp_2	Polyp_3	Polyp_4	Polyp_5	Polyp_6
ACADL	na	5.886010909	1.330458243	0.369613412	3.069652159	5.677705018	3.593168384	3.837842311	4.400108335	2.621073659	3.83150757	5.025814353	4.705247548
ACADM	na	6.410431868	3.652386338	5.414007531	3.069652159	6.561380901	2.008205883	5.26668561	4.66804154	4.337280693	5.111615489	5.301448796	3.968281954
ACADS	na	2.503541272	1.330458243	4.457076253	3.069652159	1.849885994	6.095668725	3.307327595	4.142950495	3.514158455	2.609115148	3.099814934	2.86874628
ACADSB	na	3.783649191	4.500383244	4.07005313	3.069652159	4.885509904	2.008205883	4.892290096	3.033326004	5.023172103	4.194077649	3.099814934	0.061391358
ACADVL	na	3.396626068	4.137813165	5.227594407	3.069652159	4.171814089	6.256133397	4.529720016	6.377855528	5.305571833	4.724592366	5.301448796	6.88157032
ACAN	na	3.603076946	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	2.383319453
ACAP1	na	4.981588569	2.915420743	4.07005313	3.069652159	3.228397617	5.178130885	1.722365094	4.807766304	3.720609333	3.346080743	6.84397603	3.968281954
ACAP2	na	5.368611692	5.854020199	5.795878167	3.069652159	5.717782458	2.008205883	6.580346089	6.02380323	6.080505278	6.153435665	4.478326558	5.553244454
ACAP3	na	2.503541272	4.500383244	2.691541507	3.069652159	1.849885994	4.330133978	5.091598904	5.089179239	3.901181578	3.83150757	3.585241762	5.015587668
ACAT1	na	7.417285539	6.615860462	6.519360532	3.069652159	8.203914932	3.593168384	7.032220357	5.630888541	6.15356874	5.111615489	7.546071164	6.365172106
ACAT2	na	4.219748306	4.500383244	6.559437971	3.069652159	5.309317613	2.008205883	3.596834212	3.540285993	3.901181578	4.194077649	4.865349681	4.705247548
ACBD3	na	4.981588569	5.854020199	7.446429009	3.069652159	6.894280113	3.593168384	5.62925569	4.851487681	5.595078451	7.68236413	5.635867835	5.190674375
ACBD4	na	3.155617969	3.652386338	3.829045031	6.529083778	1.849885994	5.708645601	4.385330107	4.566758204	4.337280693	1.024152648	4.684777435	4.584953314
ACBD5	na	3.396626068	5.578385756	7.70053029	3.069652159	5.309317613	2.008205883	4.529720016	4.277251587	4.337280693	4.194077649	2.36284934	4.148854199
ACBD6	na	6.464370675	5.578385756	5.013469602	3.069652159	6.687829236	2.008205883	6.404189134	5.052185031	4.858112856	5.111615489	5.301448796	5.105785477
